id,x,y,cluster
1,15.55,28.65,7
2,14.9,27.55,9
3,14.45,28.35,9
4,14.15,28.8,9
5,13.75,28.05,9
6,13.35,28.45,9
7,13.0,29.15,9
8,13.45,27.5,9
9,13.6,26.5,9
10,12.8,27.35,9
11,12.4,27.85,9
12,12.3,28.4,9
13,12.2,28.65,9
14,13.4,25.1,9
15,12.95,25.95,9
16,12.9,26.5,9
17,11.85,27.0,9
18,11.35,28.0,9
19,11.15,28.7,9
20,11.25,27.4,9
21,10.75,27.7,9
22,10.5,28.35,9
23,9.65,28.45,9
24,10.25,27.25,9
25,10.75,26.55,9
26,11.7,26.35,9
27,11.6,25.9,9
28,11.9,25.05,9
29,12.6,24.05,9
30,11.9,24.5,9
31,11.1,25.2,9
32,10.55,25.15,9
33,10.05,25.95,9
34,9.35,26.6,9
35,9.3,27.25,9
36,9.2,27.8,9
37,7.5,28.25,9
38,8.55,27.45,9
39,8.5,27.05,9
40,8.05,27.2,9
41,7.85,26.8,9
42,7.3,27.4,9
43,6.8,26.85,9
44,7.0,26.5,9
45,7.55,26.3,9
46,8.55,26.3,9
47,9.0,25.85,9
48,8.6,25.65,9
49,9.4,25.55,9
50,8.45,25.05,9
51,8.85,24.6,9
52,9.65,24.7,9
53,10.55,24.35,9
54,11.05,23.9,9
55,10.55,23.55,9
56,9.45,23.35,9
57,9.2,23.9,9
58,8.35,23.9,9
59,7.35,24.75,9
60,7.4,25.45,9
61,6.6,25.75,9
62,6.1,26.0,9
63,5.8,26.95,9
64,5.65,25.8,9
65,5.3,26.1,9
66,6.4,25.4,9
67,5.4,25.25,9
68,5.35,24.7,9
69,4.8,25.05,9
70,4.2,25.55,9
71,6.4,24.8,9
72,6.55,24.3,9
73,7.4,24.25,9
74,5.45,24.2,9
75,4.3,24.0,9
76,4.0,24.25,9
77,3.35,23.3,9
78,4.85,23.05,9
79,4.3,22.75,9
80,5.85,23.4,9
81,5.9,23.55,9
82,7.55,23.7,9
83,6.85,23.25,9
84,7.65,23.1,9
85,6.95,22.55,9
86,6.1,22.6,9
87,5.5,22.6,9
88,4.7,22.1,9
89,3.8,21.85,9
90,4.65,21.2,9
91,4.15,20.35,9
92,5.3,20.4,9
93,5.6,20.75,9
94,5.8,21.95,9
95,6.4,21.95,9
96,6.55,21.15,9
97,7.45,21.95,9
