id,x,y,cluster
1,618600.0,551446.0,7
2,582015.0,546191.0,7
3,604737.0,574591.0,7
4,627968.0,574625.0,7
5,603145.0,574795.0,7
6,671919.0,571761.0,7
7,627912.0,593892.0,7
8,591851.0,569051.0,7
9,601444.0,572693.0,7
10,661430.0,603567.0,7
11,562704.0,570596.0,1
12,605107.0,563429.0,7
13,568824.0,570203.0,1
14,560237.0,500154.0,7
15,638559.0,558807.0,7
16,631297.0,578351.0,7
17,605284.0,556134.0,7
18,603849.0,572396.0,7
19,598634.0,619900.0,1
20,604157.0,574191.0,7
21,620438.0,511694.0,7
22,600202.0,622079.0,1
23,515612.0,540643.0,1
24,593490.0,623110.0,1
25,607084.0,595500.0,1
26,583728.0,563146.0,7
27,616044.0,533807.0,7
28,624452.0,584622.0,7
29,604438.0,574666.0,7
30,625709.0,660145.0,1
31,601376.0,579831.0,7
32,612799.0,537497.0,7
33,575440.0,568511.0,1
34,605927.0,572533.0,7
35,647354.0,579190.0,7
36,680357.0,620811.0,7
37,604294.0,574368.0,7
38,611508.0,503220.0,7
39,603789.0,574474.0,7
40,551740.0,588768.0,1
41,569197.0,559307.0,1
42,606809.0,572101.0,7
43,588597.0,622592.0,1
44,613840.0,534167.0,7
45,601339.0,571609.0,7
46,593398.0,559764.0,7
47,593166.0,622725.0,1
48,712648.0,607541.0,7
49,660327.0,585901.0,7
50,604001.0,573587.0,7
51,538571.0,654649.0,1
52,586097.0,567445.0,7
53,599123.0,616977.0,1
54,617717.0,613939.0,1
55,618869.0,577243.0,7
56,636628.0,533309.0,7
57,604352.0,573425.0,7
58,596891.0,579476.0,7
59,604415.0,571400.0,7
60,593317.0,534085.0,7
61,657985.0,453405.0,6
62,601900.0,569391.0,7
63,639431.0,588155.0,7
64,568570.0,579335.0,1
65,667639.0,571164.0,7
66,596796.0,529933.0,7
67,606111.0,617846.0,1
68,571334.0,594145.0,1
69,605100.0,573307.0,7
70,585195.0,555011.0,7
71,651740.0,589474.0,7
72,589112.0,536573.0,7
73,582057.0,543124.0,7
74,577242.0,574073.0,1
75,631182.0,565466.0,7
76,695646.0,652231.0,7
77,567428.0,580005.0,1
78,634967.0,579020.0,7
79,614615.0,574437.0,7
80,594084.0,629464.0,1
81,601530.0,577183.0,7
82,603055.0,589818.0,1
83,616561.0,619007.0,1
84,611581.0,572630.0,7
85,579712.0,568354.0,1
86,602887.0,595245.0,1
87,605913.0,579526.0,7
88,610263.0,574422.0,7
89,624369.0,532153.0,7
90,599870.0,591110.0,1
91,658403.0,611332.0,7
92,610980.0,522819.0,7
93,569422.0,567790.0,1
94,540783.0,626497.0,1
95,637323.0,549567.0,7
96,638078.0,629421.0,1
97,647103.0,573853.0,7
98,533799.0,564377.0,1
99,649034.0,528813.0,7
