id,x,y,cluster
1,15.55,28.65,7
2,14.9,27.55,7
3,14.45,28.35,7
4,14.15,28.8,7
5,13.75,28.05,7
6,13.35,28.45,7
7,13.0,29.15,7
8,13.45,27.5,7
9,13.6,26.5,7
10,12.8,27.35,7
11,12.4,27.85,7
12,12.3,28.4,7
13,12.2,28.65,7
14,13.4,25.1,7
15,12.95,25.95,7
16,12.9,26.5,7
17,11.85,27.0,7
18,11.35,28.0,7
19,11.15,28.7,7
20,11.25,27.4,7
21,10.75,27.7,7
22,10.5,28.35,7
23,9.65,28.45,7
24,10.25,27.25,7
25,10.75,26.55,7
26,11.7,26.35,7
27,11.6,25.9,7
28,11.9,25.05,7
29,12.6,24.05,7
30,11.9,24.5,7
31,11.1,25.2,7
32,10.55,25.15,7
33,10.05,25.95,7
34,9.35,26.6,7
35,9.3,27.25,7
36,9.2,27.8,7
37,7.5,28.25,7
38,8.55,27.45,7
39,8.5,27.05,7
40,8.05,27.2,7
41,7.85,26.8,7
42,7.3,27.4,7
43,6.8,26.85,7
44,7.0,26.5,7
45,7.55,26.3,7
46,8.55,26.3,7
47,9.0,25.85,7
48,8.6,25.65,7
49,9.4,25.55,7
50,8.45,25.05,7
51,8.85,24.6,7
52,9.65,24.7,7
53,10.55,24.35,7
54,11.05,23.9,7
55,10.55,23.55,7
56,9.45,23.35,7
57,9.2,23.9,7
58,8.35,23.9,7
59,7.35,24.75,7
60,7.4,25.45,7
61,6.6,25.75,7
62,6.1,26.0,7
63,5.8,26.95,7
64,5.65,25.8,7
65,5.3,26.1,7
66,6.4,25.4,7
67,5.4,25.25,7
68,5.35,24.7,7
69,4.8,25.05,7
70,4.2,25.55,7
71,6.4,24.8,7
72,6.55,24.3,7
73,7.4,24.25,7
74,5.45,24.2,7
75,4.3,24.0,7
76,4.0,24.25,7
77,3.35,23.3,7
78,4.85,23.05,7
79,4.3,22.75,7
80,5.85,23.4,7
81,5.9,23.55,7
82,7.55,23.7,7
83,6.85,23.25,7
84,7.65,23.1,7
85,6.95,22.55,7
86,6.1,22.6,7
87,5.5,22.6,7
88,4.7,22.1,5
89,3.8,21.85,5
90,4.65,21.2,5
91,4.15,20.35,5
92,5.3,20.4,5
93,5.6,20.75,5
94,5.8,21.95,5
95,6.4,21.95,5
96,6.55,21.15,5
97,7.45,21.95,5
98,7.4,21.55,5
99,7.75,21.2,5
100,7.65,20.65,5
101,6.95,19.8,5
102,6.6,20.1,5
103,6.05,20.2,5
104,5.4,19.65,5
105,5.35,19.05,5
106,5.8,18.25,5
107,6.3,19.1,5
108,7.0,18.9,5
109,7.15,17.9,5
110,7.35,18.2,5
111,8.2,20.05,5
112,8.3,19.45,5
113,8.3,18.5,5
114,8.75,18.8,5
115,9.05,18.2,5
116,9.35,17.7,5
117,8.9,17.65,5
118,8.45,17.2,5
119,10.05,17.2,5
120,10.4,16.75,5
121,8.6,20.9,5
122,8.65,21.3,5
123,8.65,21.9,5
124,8.65,22.5,7
125,8.95,22.8,7
126,9.95,22.65,7
127,8.95,22.2,5
128,9.65,21.9,5
129,10.55,22.3,5
130,10.9,22.85,7
131,11.35,23.45,7
132,12.05,23.4,7
133,12.3,22.75,7
134,11.7,22.15,5
135,11.15,22.05,5
136,10.85,21.5,5
137,10.85,21.05,5
138,9.6,21.3,5
139,9.85,20.7,5
140,9.35,20.6,5
141,9.25,19.65,5
142,9.95,19.8,5
143,10.7,20.35,5
144,11.3,20.7,5
145,12.35,21.6,5
146,13.1,21.3,5
147,12.85,20.75,5
148,12.0,20.0,5
149,11.0,19.85,5
150,10.35,19.0,5
151,9.9,18.65,5
152,10.6,18.15,5
153,11.4,18.3,5
154,11.4,19.25,5
155,12.35,18.8,5
156,12.8,19.75,5
157,12.15,18.1,5
158,11.05,17.5,5
159,11.95,17.25,5
160,12.25,17.5,5
161,13.05,17.4,5
162,13.75,18.15,5
163,13.5,18.65,5
164,13.65,19.25,5
165,14.0,19.9,5
166,15.2,18.2,5
167,15.5,17.15,5
168,13.9,17.1,5
169,13.75,16.6,5
170,12.15,16.4,5
171,7.8,13.7,5
172,8.85,13.35,6
173,9.0,12.7,6
174,9.7,12.1,6
175,8.05,12.9,6
176,7.7,13.25,6
177,6.8,13.2,6
178,6.6,13.45,5
179,6.2,12.55,6
180,5.4,12.85,6
181,5.7,12.25,6
182,5.2,11.9,6
183,5.15,11.35,6
184,5.85,11.2,6
185,6.1,11.75,6
186,7.0,12.35,6
187,7.05,12.45,6
188,7.9,12.5,6
189,8.55,12.1,6
190,7.85,11.85,6
191,7.1,11.95,6
192,6.9,11.5,6
193,6.85,10.9,6
194,6.4,10.7,6
195,5.9,10.3,6
196,6.4,10.25,6
197,7.05,10.05,6
198,7.35,10.5,6
199,7.65,11.1,6
200,8.1,11.2,6
201,8.8,11.4,6
202,8.3,10.55,6
203,9.0,10.9,6
204,9.35,10.5,6
205,10.15,11.0,6
206,10.4,10.55,6
207,10.9,10.0,6
208,11.55,10.2,6
209,11.75,10.85,6
210,10.1,8.65,6
211,11.05,9.1,6
212,11.85,9.8,6
213,12.85,10.65,6
214,12.9,11.7,6
215,13.6,11.1,6
216,14.05,11.75,6
217,14.5,11.8,3
218,14.3,12.45,6
219,17.0,12.9,3
220,15.8,12.6,3
221,15.85,12.0,3
222,16.7,12.2,3
223,16.25,11.7,3
224,15.55,11.15,3
225,14.8,11.35,3
226,14.45,10.75,3
227,13.75,10.45,6
228,12.8,10.1,6
229,13.15,9.8,6
230,12.45,9.3,6
231,11.8,8.95,6
232,11.1,8.45,6
233,10.35,7.7,6
234,10.1,6.75,6
235,11.3,7.95,6
236,12.35,8.45,6
237,13.1,8.95,6
238,13.2,9.35,6
239,14.1,10.05,6
240,11.5,7.5,6
241,11.35,6.9,6
242,11.95,6.75,6
243,12.4,7.1,6
244,12.25,7.6,6
245,12.95,7.6,6
246,13.45,7.95,6
247,13.35,8.25,6
248,13.75,9.0,6
249,14.3,9.3,3
250,14.85,9.55,3
251,15.1,10.25,3
