cluster,centroid_x,centroid_y
1,321932.1696969697,162150.30909090908
2,506318.891025641,173219.59615384616
3,418563.91764705884,787720.4764705882
4,618864.7034883721,400272.0523255814
5,234607.38235294117,886378.4705882353
6,280872.42,546013.32
7,858644.3719512195,551569.8475609756
8,136314.2530120482,550426.4819277108
9,665855.6380952381,880132.1428571428
10,167257.43790849674,343128.3333333333
11,606274.5049504951,575804.207920792
12,822028.2679738562,733166.6732026144
13,680174.9056603773,831048.8301886793
14,212486.6,830985.6333333333
15,802660.0055555556,322951.6111111111
16,400184.11904761905,404859.625
17,282359.0,923744.6666666666
18,262643.64634146343,840601.6829268293
19,347700.10236220475,565916.7086614174
20,851680.5,156552.99390243902
